"Country","Year","Rank","Total","C1: Security Apparatus","C2: Factionalized Elites","C3: Group Grievance","E1: Economy","E2: Economic Inequality","E3: Human Flight and Brain Drain","P1: State Legitimacy","P2: Public Services","P3: Human Rights","S1: Demographic Pressures","S2: Refugees and IDPs","X1: External Intervention","Fragile State Index"
"Zambia","2017","46th","87.8","4.6","6.2","5.9","7.9","9.2","7.9","7.7","7.9","7.4","9.5","6.4","7.2","Warning"
"Sri Lanka","2017","47th","86.6","7.4","8.8","9","5.4","7.1","7.7","6.9","5.1","8.3","6.2","8.4","6.3","Warning"
"Papua New Guinea","2017","48th","86.4","7.2","7.1","6.3","6.1","9.1","7.4","6.8","9","7.6","7.8","5.2","6.8","Warning"
"Iran","2017","49th","85.8","7.5","9.6","9.3","6.4","5.6","6.5","9","4.5","9.5","4.9","6.5","6.5","Warning"
"Cambodia","2017","50th","85.7","6.7","8.3","6.9","5.7","6.6","7.6","8.3","7.8","7.7","7","5.7","7.4","Warning"
"Equatorial Guinea","2017","51st","85","6.5","8.2","6.3","6.5","8.7","5.5","9.8","7.9","9.2","7.5","3.9","5","Warning"
"Comoros","2017","52nd","84.8","6.7","8","5.4","8","7.5","7.4","7.3","8.2","6.3","7.3","4.7","8","Warning"
"Solomon Islands","2017","52nd","84.8","5.9","8.2","6.5","7.1","9","6.9","6.8","7.7","5.2","8.5","4.4","8.6","Warning"
"Philippines","2017","54th","84.4","9.7","8","7.9","5.5","5.7","6.5","7","6.7","6.6","7.5","6.9","6.4","Warning"
"Madagascar","2017","55th","84","7.1","7.8","4.1","7.6","9.1","6.7","7.1","9.1","5.6","9.1","3.9","6.8","Warning"
"Togo","2017","56th","83.9","6.5","7.6","4.6","6.4","8.2","7.5","7.8","8.2","6.7","7.8","6.6","6","Warning"
"Guatemala","2017","57th","83.1","7.6","7.1","8.5","5.5","8.1","7.3","6.5","7.5","7.2","7","5.6","5.2","Warning"
"Venezuela","2017","58th","82.9","7.3","8.2","7.2","7.3","6.7","5.5","8.5","7.7","8.9","5.6","4.6","5.4","Warning"
"Laos","2017","59th","82.4","5.5","8.3","6.6","5.2","6.6","7.7","9.1","7","7.9","7.3","5.1","6.1","Warning"
"Senegal","2017","60th","82.3","6.2","6.6","6.4","7.4","7.4","8","4.7","7.5","6","8.1","7.3","6.7","Warning"
"Tajikistan","2017","61st","81.8","6.7","8.4","7.4","7.3","4.8","6.2","9.1","5.6","8.2","7.9","4.3","5.9","Warning"
"Lesotho","2017","62nd","81.7","6.2","7.3","3.9","8.1","8.1","8","5.9","8.1","5","8.5","4.8","7.8","Warning"
"Uzbekistan","2017","63rd","81.5","7.1","8.8","7.1","6.3","6.9","6","9.5","4.9","9.2","5.6","5.5","4.6","Warning"
"Turkey","2017","64th","80.8","8.3","9.1","10","4.6","5.7","3.9","7.6","4.4","7.7","4.9","9.2","5.4","Warning"
"Kyrgyz Republic","2017","65th","80.3","6.5","8","8.4","7","5.9","7","7.7","5.1","7.5","5.5","5.3","6.4","Warning"
"Tanzania","2017","65th","80.3","5.5","5.7","5.2","6.2","7.1","7.6","5.9","8.6","5.9","8.7","6.7","7.2","Warning"
"Russia","2017","67th","79.2","8.9","8.1","8.8","5.2","6.2","4","8.5","4.2","9.2","4.6","5.8","5.7","Warning"
"Honduras","2017","68th","79.1","7.3","6.8","5.9","6.4","7.7","6.4","6.8","6.8","6.9","6.3","4.3","7.5","Warning"
"Colombia","2017","69th","78.9","6.9","7.6","7.3","4.2","7.6","6.2","6.3","5.9","7","6.2","7.7","6","Warning"
"Israel and West Bank","2017","69th","78.9","6.9","8.1","10","3.8","6.8","3.8","6.4","4.8","7.5","6","7.3","7.5","Warning"
"Jordan","2017","71st","78.7","5.7","6.9","8","6.4","5.4","4.2","6.3","4.2","7.9","6.5","9.6","7.6","Warning"
"India","2017","72nd","77.9","7.4","7.3","8.3","5.1","7","6.1","4.7","7.4","6","7.9","5.3","5.4","Warning"
"Benin","2017","73rd","77.6","6.2","6.7","3.4","6.6","7.6","7.4","5.4","8.7","5.2","8.3","5.5","6.6","Warning"
"Nicaragua","2017","74th","77.4","5.6","7.1","6.5","5.7","8","8.1","7.9","6.7","5.2","5.3","4","7.3","Warning"
"Ecuador","2017","75th","77.3","6.8","8.2","7.3","6","6.7","5.8","6.5","6.5","5","6.5","5.7","6.3","Warning"
"Fiji","2017","76th","76.9","7.1","7.9","6.9","6.5","6.3","8.2","6.9","5","6.9","4.9","3.1","7.2","Warning"
"Algeria","2017","77th","76.8","7.2","7.1","7.1","6.6","6.6","5.8","6.9","6","6.6","5.2","6.8","4.9","Warning"
"Bolivia","2017","77th","76.8","6.5","8","6","5.4","8.6","7","6.5","6.8","6","6.3","3.9","5.8","Warning"
"Georgia","2017","79th","76.5","6.8","9.1","7.9","5.5","5.5","4.9","8.3","4.3","5.6","3.7","7.5","7.4","Warning"
"Micronesia","2017","80th","76.4","4.6","5.6","4","8.8","8.3","9.8","5.5","6","3.3","7.1","3.9","9.5","Warning"
"Azerbaijan","2017","81st","76.3","6.2","7.9","6.5","4.1","5.9","4.3","8.8","5.4","8.5","4.6","7.7","6.4","Warning"
"Thailand","2017","82nd","76.2","9","9.4","8.5","3.3","5.3","4.7","7.5","4.4","8","6.4","5.9","3.8","Warning"
"Bhutan","2017","83rd","76","4.5","7.5","7.9","4.7","6.1","7.2","4.3","6.1","6.6","6.1","7","8","Warning"
"Morocco","2017","84th","74.9","5.8","6.6","7.7","4.8","6.2","8.2","6.7","5.2","6.8","4.8","6.1","6","Warning"
"China","2017","85th","74.7","5.9","7.2","7.9","4.4","7.3","4.9","8.6","5.7","8.5","6.7","4.9","2.7","Warning"
"Maldives","2017","86th","74.4","6.4","8","4.8","5.9","3.6","6.2","8.5","5.6","8.2","6","4.7","6.5","Warning"
"Turkmenistan","2017","86th","74.4","6.3","7.8","6.6","4.9","6.7","5.1","9.7","5.6","8.7","5.4","3.5","4.1","Warning"
"Mexico","2017","88th","74.3","8.4","5.4","7.2","4.9","6.1","5.8","6.5","6.8","6.5","6.1","5.1","5.5","Warning"
"Tunisia","2017","89th","74.2","8.3","7.8","7.7","6.7","4.9","6.1","6.5","4.4","6.5","4.2","4.7","6.4","Warning"
"Ukraine","2017","90th","74","7.6","8","6.7","6.8","4.2","5.2","8.2","3.7","6.2","4.2","4.6","8.6","Warning"
"Gabon","2017","91st","73.8","5.2","7.4","3.8","5.5","6.5","6.1","8.2","6.7","7.5","6.7","4.5","5.7","Warning"
"El Salvador","2017","92nd","73.1","7.3","4.3","6.7","5.4","6.4","7.9","4.8","6.4","6.3","6.9","4.8","5.9","Warning"
"Bosnia and Herzegovina","2017","93rd","73","5.7","8.7","7","5.7","5.1","5.5","6.5","3.6","5.6","3.8","7.6","8.2","Warning"
"Indonesia","2017","94th","72.9","6.2","7","7.1","4.5","5.8","6.9","5.1","5.9","7.2","6.6","5.4","5.2","Warning"
"Belarus","2017","95th","72.4","6.1","8.3","7.1","6","4.7","3.4","8.7","4.2","7.9","5.1","3.6","7.3","Warning"
"South Africa","2017","96th","72.3","6.1","6.1","6.7","7.1","7.5","5.5","6.5","7","4.2","7.2","5.4","3","Warning"
"Sao Tome and Principe","2017","97th","72.1","5","6.3","4.5","8.5","6","8.5","5.6","5.9","3.3","6.2","4.4","7.9","Warning"
"Moldova","2017","98th","72","6.1","8.3","7.3","6.4","4.8","6.6","6.6","4.9","4.9","4.8","3.9","7.4","Warning"
"Paraguay","2017","99th","71.6","6.6","7.8","5.8","5","7.9","5.8","7","6.2","5.9","5.7","3.1","4.8","Warning"
"Guyana","2017","100th","71.3","6.4","5.1","6.7","6","5.7","9.4","5.4","6.2","3.5","5.8","3.8","7.3","Warning"
"Saudi Arabia","2017","101st","71.2","6.3","8.2","7.8","4.5","5","3.8","8","3.8","9.1","5.3","4.7","4.7","Warning"
"Armenia","2017","102nd","71","5.5","7.4","6.1","6.3","4.5","6.2","7.6","3.6","7","3.1","7","6.7","Warning"
"Namibia","2017","103rd","70.4","5.5","3.5","5.8","6.8","8.2","7.1","3.3","7.4","3.8","7.6","5","6.4","Warning"
"Peru","2017","104th","70.3","7.1","6.9","7.4","3.2","7.4","7.3","7.2","6.7","4.3","5","4.3","3.5","Warning"
"Vietnam","2017","105th","70.2","4.6","6.9","6","5.1","5","6.2","8.3","4.7","7.4","6.1","4.7","5.2","Warning"
"Cape Verde","2017","106th","70.1","5.4","5.5","4.1","5.2","7.1","8","5.3","6","4","7.2","4.2","8.1","Warning"
