"Country","Year","Rank","Total","C1: Security Apparatus","C2: Factionalized Elites","C3: Group Grievance","E1: Economy","E2: Economic Inequality","E3: Human Flight and Brain Drain","P1: State Legitimacy","P2: Public Services","P3: Human Rights","S1: Demographic Pressures","S2: Refugees and IDPs","X1: External Intervention","Education(Mean years of schooling","Health(Current health expenditure (% of GDP)","Unemployment","Population growth","Corruption","Human Development Index","Fragile State Index"
"Bhutan","2017","83rd","89.3","4.5","7.5","7.9","4.7","6.1","7.2","4.3","6.1","6.6","6.1","7","8","4.1","3.2","2.4","1.2","1.83","0.6","Warning"
"Seychelles","2017","125th","87.7","6.1","6","4.5","4.1","5.5","5.9","5.5","2.7","3.8","5.1","3.2","7","9.8","5","2.3","2.2","8.32","0.7","Warning"
"Bahrain","2017","118th","87","6.9","7.6","8.4","3.8","4.6","3.5","8.2","1.8","8.8","4.1","2.4","4.8","9.4","4.7","0.7","4.7","1.81","0.8","Warning"
"Bahamas","2017","134th","86.6","4.6","4.5","4.1","4.8","4.5","4.7","3.8","4.6","3.6","6.9","2.6","3.7","11.4","5.8","9.8","1","5.39","0.8","Warning"
"Croatia","2017","138th","84.6","3.5","4.4","5.8","5.3","3.3","4.7","2.9","2.4","3.6","3.1","7","4.6","11.4","6.8","11.2","1.2","2.64","0.8","Warning"
"Trinidad and Tobago","2017","128th","84.6","6.3","5.6","4.2","4.4","4.9","8.1","4.5","4.3","4.1","4.5","2.7","3.1","11","7","4.3","1.6","3.29","0.7","Warning"
"Bulgaria","2017","132nd","83.6","4.3","5.3","5.1","5.7","4.4","4.2","4.5","4.4","3.3","3.7","4.5","4.3","11.4","8.1","6.2","0.7","2.66","0.8","Warning"
"Montenegro","2017","130th","83.1","4","6.5","7.9","5.2","2.4","4","4.6","3.1","4.1","2.8","4.6","6.5","10.2","4.6","9.2","0","2.6","0.8","Warning"
"Malaysia","2017","116th","82.1","6.3","6.8","6.5","3.1","5","5","7.7","4.2","8","5.3","3.7","3.8","4.5","3.9","3.4","1.4","2.67","0.8","Warning"
"Grenada","2017","123rd","81.9","5.7","5.6","3.8","6","4.8","8.4","5.4","3.8","3.2","4.7","3","7.1","8.7","4.8","3","0.2","3","0.7","Warning"
"Barbados","2017","139th","81","4.4","4.2","4.1","5.9","4.6","5.4","2.5","2.7","2.9","4.4","2.5","6","10.6","6.8","9.8","0.2","3.24","0.8","Warning"
"Argentina","2017","140th","80.9","4.3","2.8","5","4.3","5.4","3","4.8","3.8","4.1","3.8","2.3","4.6","10.6","9.1","8.3","1","2.92","0.8","Warning"
"United States","2017","158th","80.9","3.2","5.3","6","2.4","4.3","1.7","1.9","1.6","3.2","2.8","2","1.2","13.4","17.1","11.6","0.6","1.7","0.9","Warning"
"Italy","2017","142nd","80","4.5","4.9","4.8","5.4","2.9","2","3.7","2.7","2","4.3","5.5","2.5","10.2","8.8","11.2","0.1","3.72","0.8","Warning"
"Kuwait","2017","126th","79.7","4.2","7.8","4.7","3","4.2","3.6","7.2","2.6","7.9","5","3.5","4.8","7.3","5.3","2.8","2.5","2.47","0.8","Warning"
"Hungary","2017","135th","79","2.7","5.3","4.8","5.4","3.8","3.3","6.1","3.2","5.2","1.8","6.5","3.9","11.9","6.9","4.2","0.3","2.89","0.8","Warning"
"Latvia","2017","141st","77.9","3","4.3","8","3.5","4.1","4.8","3.4","2.9","2.8","2.9","2.8","3.9","13","6","6.9","1.6","3.21","0.8","Warning"
"Romania","2017","136th","77.9","3","5.4","6.8","4.7","4.2","4.5","5.2","3.8","3.7","3.2","2.8","3.6","11","5.2","4.9","2.6","2.5","0.8","Warning"
"Antigua and Barbuda","2017","131st","76.7","5.7","3.7","3.9","4.5","4.5","6.8","5.4","3.8","4.4","4.1","2.7","5.3","9.3","4.5","4.3","1","2.1","0.7","Warning"
"United Kingdom","2017","160th","76.7","2.7","4.5","6.4","3.6","3.6","2.1","1.5","1.6","1.7","2.4","2.1","1","12.9","9.6","13.2","0.7","6.26","0.8","Warning"
"Estonia","2017","143rd","76.5","3.3","5.9","7.3","3.5","3.2","4","2.7","2.9","1.7","2.8","3.1","4.3","13","6.4","5.8","0.1","5.74","0.8","Warning"
"Oman","2017","133rd","76","4.2","6.6","2.9","4.1","4.6","2.5","6.8","3.5","7.7","4.8","2.5","2.3","9.7","3.8","3","4.1","2.11","0.8","Warning"
"Panama","2017","137th","75.9","5.4","2.2","5.6","2.6","7.4","4.6","3.2","4.8","4.3","4.9","3","2.7","10.2","7.3","3.9","0.5","2.55","0.8","Warning"
